rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
123	biotin	P49771	FLT3LG	Isoform 1 of Fms-related tyrosine kinase 3 ligand	Homo sapiens	7NBI	A	1.65	X-RAY DIFFRACTION	2021-04-28	0.993	0.843	27-160	P49771-1	27-185	27-160	FLL-H82E6	https://www.acrobiosystems.com/products/protein/flt-3-ligand-human-fll-h82e6	True	21.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
124	biotin	Q9ULV1	FZD4	Frizzled-4	Homo sapiens	8WMA	A	3.47	ELECTRON MICROSCOPY	2024-09-11	1.000	1.000	37-180	AAI14528	37-180	37-180	FZ4-H82E3	https://www.acrobiosystems.com/products/protein/frizzled-4-human-fz4-h82e3	True	20.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
125	biotin	P11236	F	Fusion glycoprotein F0	Mumps virus genotype B (strain Miyahara vaccine)	9DRQ	A	2.16	X-RAY DIFFRACTION	2025-02-19	0.986	0.944	20-476	P11236	20-486	20-476	RSF-M82E3	https://www.acrobiosystems.com/products/protein/fusion-glycoprotein-f0-mumps-virus-rsf-m82e3	True	53.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					0.1 M Sodium citrate, pH5.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
126	biotin	Q99062	CSF3R	Granulocyte colony-stimulating factor receptor	Homo sapiens	2D9Q	B	2.80	X-RAY DIFFRACTION	2006-02-07	0.981	0.524	25-337	NP_000751	25-621	25-337	GCR-H82E4	https://www.acrobiosystems.com/products/protein/g-csf-r-human-gcr-h82e4	True	69.2	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
127	biotin	P47871	GCGR	Glucagon receptor	Homo sapiens	8WG8	R	2.71	ELECTRON MICROSCOPY	2024-03-06	1.000	1.000	26-136	P47871-1	26-136	26-136	GCR-H82E3	https://www.acrobiosystems.com/products/protein/gcgr-human-gcr-h82e3	True	16.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
128	biotin	Q99988	GDF15	Growth/differentiation factor 15	Homo sapiens	5VZ3	A	1.97	X-RAY DIFFRACTION	2017-09-27	1.000	1.000	197-308	Q99988-1	197-308	197-308	GD5-H81Q3	https://www.acrobiosystems.com/products/protein/gdf-15-human-gd5-h81q3	True	15.8	Lyophilized	E. coli	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					0.085% TFA, 30% ACN with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
129	biotin	O14793	MSTN	Growth/differentiation factor 8	Homo sapiens	6UMX	A	2.79	X-RAY DIFFRACTION	2020-02-26	0.991	1.000	24-375	O14793	24-375	24-375	GD8-H8243	https://www.acrobiosystems.com/products/protein/gdf-8-human-gd8-h8243	True	42.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus					0.2 M Arginine, PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
130	biotin	Q6UXV0	GFRAL	GDNF family receptor alpha-like	Homo sapiens	6Q2J	C	4.10	ELECTRON MICROSCOPY	2019-10-02	1.000	0.997	20-351	Q6UXV0-1	19-351	20-351	GFA-H82E3	https://www.acrobiosystems.com/products/protein/gfr-alpha-like-human-gfa-h82e3	True	41.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
131	biotin	P48546	GIPR	Isoform 1 of Gastric inhibitory polypeptide receptor	Homo sapiens	2QKH	A	1.90	X-RAY DIFFRACTION	2007-08-14	1.000	1.000	26-138	P48546-1	26-138	26-138	GIR-H82E3	https://www.acrobiosystems.com/products/protein/gipr-human-gir-h82e3	True	16.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
132	biotin	Q9Y5U5	TNFRSF18	Isoform 1 of Tumor necrosis factor receptor superfamily member 18	Homo sapiens	7LAW	R	2.75	X-RAY DIFFRACTION	2022-03-09	1.000	1.000	26-161	Q9Y5U5-1	26-161	26-161	GIR-H82E5	https://www.acrobiosystems.com/products/protein/gitr-human-gir-h82e5	True	18.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
133	biotin	Q9UNG2	TNFSF18	Tumor necrosis factor ligand superfamily member 18	Homo sapiens	3B93	A	2.20	X-RAY DIFFRACTION	2008-02-12	1.000	1.000	50-177	AAH69319.1	50-177	50-177	GIL-H82F8	https://www.acrobiosystems.com/products/protein/gitr-ligand-human-gil-h82f8	True	43.5	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, human IgG1 Fc tag					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA
134	biotin	P43220	GLP1R	Glucagon-like peptide 1 receptor	Homo sapiens	6GB1	A	2.73	X-RAY DIFFRACTION	2018-06-20	1.000	1.000	21-139	P43220-1	21-139	21-139	GLR-H82E3	https://www.acrobiosystems.com/products/protein/glp1r-human-glr-h82e3	True	17.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
135	biotin	P04141	CSF2	Granulocyte-macrophage colony-stimulating factor	Homo sapiens	6BFS	C	2.00	X-RAY DIFFRACTION	2018-09-12	1.000	1.000	18-144	NP_000749.2	18-144	18-144	GMF-H8214	https://www.acrobiosystems.com/products/protein/gm-csf-human-gmf-h8214	True	14.5	Lyophilized	HEK293	None (epitope tag free)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
136	biotin	Q9NZD1	GPRC5D	Isoform 2 of G-protein coupled receptor family C group 5 member D	Homo sapiens	9IMA	A	2.65	ELECTRON MICROSCOPY	2024-09-11	1.000	0.993	2-298	Q9NZD1-2	2-300	2-298	GPD-H82D5	https://www.acrobiosystems.com/products/protein/gprc5d-human-gpd-h82d5	True	40.1	0.2 μm filtered solution	human 293 cells (HEK293)	Flag tag at the N-terminus, polyhistidine tag, Avi tag (Avitag™) at the C-terminus					50 mM HEPES, 150 mM NaCl, DDM, CHS, pH7.5 with glycerol as protectant		-70°C or lower	90.0		HABA assay / binding ELISA
137	biotin	P25092	GUCY2C	Guanylyl cyclase C	Homo sapiens	8GHP	A	3.52	X-RAY DIFFRACTION	2023-08-30	1.000	1.000	24-430	P25092-1	24-430	24-430	GUC-H82E9	https://www.acrobiosystems.com/products/protein/gucy2c-human-guc-h82e9	True	49.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0	100.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
138	biotin	P17931	LGALS3	Galectin-3	Homo sapiens	7XFA	A	0.98	X-RAY DIFFRACTION	2022-10-12	1.000	1.000	112-250	P17931	112-250	112-250	GA3-H82E3	https://www.acrobiosystems.com/products/protein/galectin-3-human-ga3-h82e3	True	19.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0	1000.0	HABA assay / binding ELISA
139	biotin	O00182	LGALS9	Isoform 2 of Galectin-9	Homo sapiens	3WV6	A	1.95	X-RAY DIFFRACTION	2015-05-20	0.997	0.916	2-323	O00182-2	2-323	2-323	LG9-H82H3	https://www.acrobiosystems.com/products/protein/galectin-9-human-lg9-h82h3	True	39.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					20 mM MOPS, 50 mM Nacl, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0		HABA assay / binding ELISA
140	biotin	P06763	gB	Envelope glycoprotein B	Human herpesvirus 2 (strain 333)	9IH8	A	2.21	ELECTRON MICROSCOPY	2025-09-03	1.000	1.000	98-730	P06763	98-730	98-730	GLB-V82E3	https://www.acrobiosystems.com/products/protein/glycoprotein-b-gb-hsv-2-hsv-2-glb-v82e3	True	76.0	0.2 μm filtered solution	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, 0.5 M Arginine, pH7.4 with trehalose as protectant		-70°C or lower upon receipt; -70°C for 3 months under sterile conditions	90.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
141	biotin	P35052	GPC1	Isoform 1 of Glypican-1	Homo sapiens	4AD7	A	2.94	X-RAY DIFFRACTION	2012-03-21	1.000	0.998	24-529	P35052-1	24-530	24-529	GP1-H82E3	https://www.acrobiosystems.com/products/protein/glypican-1-human-gp1-h82e3	True	59.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
142	biotin	Q8N158	GPC2	Glypican-2	Homo sapiens	7T62	A	21.00	ELECTRON MICROSCOPY	2021-12-22	1.000	1.000	24-554	Q8N158-1	24-554	24-554	GP2-H82E3	https://www.acrobiosystems.com/products/protein/glypican-2-human-gp2-h82e3	True	37.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0	1000.0	HABA assay / binding ELISA
143	biotin	P51654	GPC3	Isoform 1 of Glypican-3	Homo sapiens	7ZAW	A	2.58	X-RAY DIFFRACTION	2022-11-02	0.991	0.852	32-487	P51654-1	25-559	32-487	GP3-H82E5	https://www.acrobiosystems.com/products/protein/glypican-3-human-gp3-h82e5	True		Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0	10.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA, sterility and endotoxin tests
144	biotin	P10912	GHR	Isoform 1 of Growth hormone receptor	Homo sapiens	1A22	B	2.60	X-RAY DIFFRACTION	1998-04-29	1.000	0.966	27-256	P10912-1	27-264	27-256	GHR-H8222	https://www.acrobiosystems.com/products/protein/growth-hormone-r-human-ghr-h8222	True	29.6	Lyophilized	human HEK293 cells	His Tag, Biotin					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
145	biotin	P08581	MET	Isoform 1 of Hepatocyte growth factor receptor	Homo sapiens	7MO9	E	4.00	ELECTRON MICROSCOPY	2021-06-09	1.000	1.000	25-932	P08581-1	25-932	25-932	MET-H82E1	https://www.acrobiosystems.com/products/protein/hgf-r-human-met-h82e1	True		Lyophilized	HEK293	His Tag, Avitag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0	1000.0	HABA assay / binding ELISA
146	biotin	Q5MAG5	HLA-A		Homo sapiens	3OXR	A	1.70	X-RAY DIFFRACTION	2011-05-04	1.000	0.979	25-299	AAW30168.1 (HLA-A*02:06) & P61769 (B2M)	25-305	25-299	HLM-H82Ep	https://www.acrobiosystems.com/products/protein/hla-a-0206-b2m-human-hlm-h82ep	True	36.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
